# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.03%  [.] slice_dealloc.lto_priv.0                           -      -            
     0.03%  [.] tupleitem.lto_priv.0                               -      -            
     0.03%  [.] tupleiter_dealloc.lto_priv.0                       -      -            
     0.03%  [.] unicode_char.lto_priv.0                            -      -            
     0.03%  [.] unicode_fill_invalid.lto_priv.0                    -      -            
     0.03%  [.] unicode_modifiable.lto_priv.0                      -      -            
     0.03%  [.] unicode_result_ready.lto_priv.0                    -      -            
     0.03%  [.] unicode_subscript.lto_priv.0                       -      -            
     0.03%  [.] unlink_chunk.constprop.0                           -      -            
     0.03%  [k] 0xffffffff826dd637                                 -      -            
     0.03%  [.] 0x00000000001aced6                                 -      -            
     0.02%  [.] PyArg_UnpackTuple                                  -      -            
     0.02%  [.] PyBytes_FromStringAndSize                          -      -            
     0.02%  [.] PyDict_SetDefault                                  -      -            
     0.02%  [.] PyLong_AsDouble                                    -      -            
     0.02%  [.] PyLong_FromSsize_t                                 -      -            
     0.02%  [.] PyNumber_FloorDivide                               -      -            
     0.02%  [.] PyObject_IsInstance                                -      -            
     0.02%  [.] PySequence_GetSlice                                -      -            
     0.02%  [.] PySlice_New                                        -      -            
     0.02%  [.] PyUnicode_DecodeUTF8Stateful                       -      -            
     0.02%  [.] PyUnicode_FromFormatV                              -      -            
     0.02%  [.] _PyErr_FormatV                                     -      -            
     0.02%  [.] _PyObject_GetDictPtr                               -      -            
     0.02%  [.] _PyObject_HasLen                                   -      -            
     0.02%  [.] _PyObject_VectorcallTstate.lto_priv.31             -      -            
     0.02%  [.] _PyStack_AsDict                                    -      -            
     0.02%  [.] _PyUnicodeWriter_PrepareInternal                   -      -            
     0.02%  [.] _PyUnicodeWriter_WriteASCIIString                  -      -            
     0.02%  [.] __GI___readdir64                                   -      -            
     0.02%  [.] __memrchr_avx2                                     -      -            
     0.02%  [.] __strncmp_avx2                                     -      -            
     0.02%  [.] _copy_characters                                   -      -            
     0.02%  [.] _io_FileIO_readall_impl                            -      -            
     0.02%  [.] _pystat_fromstructstat.lto_priv.0                  -      -            
     0.02%  [.] bytearray_subscript.lto_priv.0                     -      -            
     0.02%  [.] cell_dealloc.lto_priv.0                            -      -            
     0.02%  [.] dict_merge                                         -      -            
     0.02%  [.] dictresize                                         -      -            
     0.02%  [.] do_lookup_x                                        -      -            
     0.02%  [.] do_mkvalue                                         -      -            
     0.02%  [.] float_add.lto_priv.0                               -      -            
     0.02%  [.] list_sort_impl                                     -      -            
     0.02%  [.] lookdict_index                                     -      -            
     0.02%  [.] lookup_maybe_method.lto_priv.0                     -      -            
     0.02%  [.] method_vectorcall_NOARGS                           -      -            
     0.02%  [.] method_vectorcall_O                                -      -            
     0.02%  [.] set_contains.lto_priv.0                            -      -            
     0.02%  [.] set_next                                           -      -            
