# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.00%  [.] __memmove_chk_avx_unaligned_erms                   -      -            
     0.00%  [.] builtin_sorted                                     -      -            
     0.00%  [.] defdict_dealloc                                    -      -            
     0.00%  [.] insertion_resize                                   -      -            
     0.00%  [.] set_dealloc.lto_priv.0                             -      -            
     0.00%  [.] PyDict_SetDefault                                  -      -            
     0.00%  [.] _PyObject_Call                                     -      -            
     0.00%  [.] dict_pop_impl                                      -      -            
     0.00%  [.] float_new_impl                                     -      -            
     0.00%  [.] long_sub.lto_priv.0                                -      -            
     0.00%  [.] update_one_slot                                    -      -            
     0.00%  [k] 0xffffffff82986ef7                                 -      -            
     0.00%  [.] _PyObject_VectorcallTstate.lto_priv.2              -      -            
     0.00%  [.] resolve_slotdups                                   -      -            
     0.00%  [.] tuple_new.lto_priv.0                               -      -            
     0.00%  [.] type_is_gc.lto_priv.0                              -      -            
     0.00%  [.] PySlice_New                                        -      -            
     0.00%  [.] dictiter_new                                       -      -            
     0.00%  [.] long_true_divide.lto_priv.0                        -      -            
     0.00%  [.] r_string                                           -      -            
     0.00%  [k] 0xffffffff826ab897                                 -      -            
     0.00%  [.] PyDict_New                                         -      -            
     0.00%  [.] _PyDictView_New                                    -      -            
     0.00%  [.] _PyMem_DebugRawCalloc                              -      -            
     0.00%  [.] __strlen_avx2                                      -      -            
     0.00%  [.] cfree@GLIBC_2.2.5                                  -      -            
     0.00%  [.] list_pop_impl                                      -      -            
     0.00%  [.] set_next                                           -      -            
     0.00%  [.] type_traverse.lto_priv.0                           -      -            
     0.00%  [k] 0xffffffff8255e975                                 -      -            
     0.00%  [.] PySequence_GetSlice                                -      -            
     0.00%  [.] PyTuple_GetSlice                                   -      -            
     0.00%  [.] _PyUnicode_FromUCS1.lto_priv.0                     -      -            
     0.00%  [.] dict_update_common                                 -      -            
     0.00%  [.] zip_dealloc.lto_priv.0                             -      -            
     0.00%  [.] PyTraceBack_Here                                   -      -            
     0.00%  [.] _PyArg_UnpackKeywords                              -      -            
     0.00%  [.] _PyObject_Realloc                                  -      -            
     0.00%  [.] func_traverse.lto_priv.0                           -      -            
     0.00%  [k] 0xffffffff8256b216                                 -      -            
     0.00%  [k] 0xffffffff82987828                                 -      -            
     0.00%  [k] 0xffffffff82d5290d                                 -      -            
     0.00%  [.] 0x0000000000021104                                 -      -            
     0.00%  [.] PyErr_GivenExceptionMatches                        -      -            
     0.00%  [.] float_div.lto_priv.0                               -      -            
     0.00%  [.] range_dealloc.lto_priv.0                           -      -            
     0.00%  [.] unsafe_float_compare                               -      -            
     0.00%  [k] 0xffffffff826df594                                 -      -            
     0.00%  [.] 0x00000000000216f0                                 -      -            
     0.00%  [.] PyMem_Calloc                                       -      -            
     0.00%  [.] code_dealloc.lto_priv.0                            -      -            
     0.00%  [.] compute_range_length                               -      -            
     0.00%  [.] dictview_dealloc.lto_priv.0                        -      -            
     0.00%  [.] inherit_slots                                      -      -            
     0.00%  [.] range_from_array                                   -      -            
     0.00%  [.] tuplelength.lto_priv.0                             -      -            
     0.00%  [.] tupleslice                                         -      -            
     0.00%  [.] valid_index.lto_priv.0                             -      -            
     0.00%  [.] visit_validate                                     -      -            
     0.00%  [.] PyObject_SetAttr                                   -      -            
     0.00%  [.] cell_dealloc.lto_priv.0                            -      -            
     0.00%  [.] get_list_state                                     -      -            
     0.00%  [k] 0xffffffff8294395c                                 -      -            
     0.00%  [.] PyCode_NewWithPosOnlyArgs                          -      -            
     0.00%  [.] _PyErr_SetObject                                   -      -            
     0.00%  [.] _PyPegen_expect_token                              -      -            
